title,show_id,imdb_rating
Dick Johnson Is Dead,s1,7.4
Blood & Water,s2,6.5
Ganglands,s3,7.0
Jailbirds New Orleans,s4,6.7
Kota Factory,s5,9.2
Midnight Mass,s6,7.7
My Little Pony: A New Generation,s7,6.9
Sankofa,s8,7.0
The Great British Baking Show,s9,8.6
The Starling,s10,6.3
"Vendetta: Truth, Lies and The Mafia",s11,6.7
Bangkok Breaking,s12,6.0
Je Suis Karl,s13,5.4
Confessions of an Invisible Girl,s14,5.2
Crime Stories: India Detectives,s15,7.2
Dear White People,s16,6.1
Europe's Most Dangerous Man: Otto Skorzeny in Spain,s17,
Falsa identidad,s18,
Intrusion,s19,5.2
Jaguar,s20,5.8
Monsters Inside: The 24 Faces of Billy Milligan,s21,6.2
Resurrection: Ertugrul,s22,
Avvai Shanmughi,s23,
Go! Go! Cory Carson: Chrissy Takes the Wheel,s24,6.0
Jeans,s25,6.5
Love on the Spectrum,s26,8.6
Minsara Kanavu,s27,
Grown Ups,s28,6.0
Dark Skies,s29,6.3
Paranoia,s30,
Ankahi Kahaniya,s31,5.6
Chicago Party Aunt,s32,5.3
Sex Education,s33,8.3
Squid Game,s34,8.0
Tayo and Little Wizards,s35,
The Father Who Moves Mountains,s36,5.5
The Stronghold,s37,
Angry Birds,s38,
Birth of the Dragon,s39,5.6
Chhota Bheem,s40,4.3
He-Man and the Masters of the Universe,s41,
Jaws,s42,8.0
Jaws 2,s43,5.8
Jaws 3,s44,
Jaws: The Revenge,s45,3.0
My Heroes Were Cowboys,s46,6.8
Safe House,s47,6.7
The Smart Money Woman,s48,7.6
Training Day,s49,7.7
Castle and Castle,s50,
Dharmakshetra,s51,8.3
InuYasha the Movie 2: The Castle Beyond the Looking Glass,s52,7.5
InuYasha the Movie 3: Swords of an Honorable Ruler,s53,7.7
InuYasha the Movie 4: Fire on the Mystic Island,s54,7.3
InuYasha the Movie: Affections Touching Across Time,s55,7.3
Nailed It,s56,
Naruto Shippuden the Movie: Blood Prison,s57,7.2
Naruto Shippûden the Movie: Bonds,s58,
Naruto Shippûden the Movie: The Will of Fire,s59,
Naruto Shippuden: The Movie,s60,
Naruto Shippuden: The Movie: The Lost Tower,s61,
Naruto the Movie 2: Legend of the Stone of Gelel,s62,6.5
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,s63,6.5
Naruto the Movie: Ninja Clash in the Land of Snow,s64,6.7
Nightbooks,s65,5.8
Numberblocks,s66,8.1
Raja Rasoi Aur Anya Kahaniyan,s67,
Saved by the Bell,s68,5.4
Schumacher,s69,7.5
Stories by Rabindranath Tagore,s70,8.8
Too Hot To Handle: Latino,s71,5.4
A StoryBots Space Adventure,s72,
Jack Whitehall: Travels with My Father,s73,7.6
King of Boys,s74,6.0
The World's Most Amazing Vacation Rentals,s75,6.8
You vs. Wild: Out Cold,s76,5.4
Yowamushi Pedal,s77,7.8
Little Singham - Black Shadow,s78,
Tughlaq Durbar,s79,
